English,Русский
Eject,Катапультируйся
Engine Fire,Пожар двигателя
Engine 1 Fire,Пожар первого двигателя
Engine 2 Fire,Пожар второго двигателя
Engine 3 Fire,Пожар третьего двигателя
Engine 4 Fire,Пожар четвёртого двигателя
Front Left Engine Failure,Отказ переднего левого двигателя
Front Right Engine Failure,Отказ переднего правого двигателя
Left Engine Failure,Отказ левого двигателя
Left Engine Fire,Пожар левого двигателя
Left Fan Failure,Отказ левого винта
Left Prop Strike,Отказ левого винта
Lower Gear,Выпусти шасси
Main Rotor Damage,Отказ несущего винта
Overspeed,Скорость предельная
Raise Gear,Проверь шасси
Rear Left Engine Failure,Отказ заднего левого двигателя
Rear Right Engine Failure,Отказ заднего правого двигателя
Right Engine Failure,Отказ правого двигателя
Right Engine Fire,Пожар правого двигателя
Right Fan Failure,Отказ правого винта
Right Prop Strike,Отказ правого винта
Stall,Предельный угол атаки
Tail Rotor Failure,Отказ хвостового винта
VRS,СВК
